DATE,DailyMinimumDryBulbTemperature,DailyDepartureFromNormalAverageTemperature,DailyAverageDryBulbTemperature,DailyMaximumDryBulbTemperature
01,7.612903225806452,0.4161290322580646,15.161290322580646,22.29032258064516
02,7.428571428571429,-2.3035714285714284,17.785714285714285,27.75
03,15.096774193548388,-7.464516129032258,23.387096774193548,31.06451612903226
04,33.266666666666666,-1.2866666666666666,44.3,54.833333333333336
05,49.733333333333334,5.486666666666666,63.266666666666666,76.16666666666667
06,60.13333333333333,4.8,72.0,83.3
07,57.806451612903224,-1.832258064516129,69.93548387096774,81.54838709677419
08,60.32258064516129,2.403225806451613,72.2258064516129,83.48387096774194
09,53.766666666666666,5.676666666666667,66.86666666666666,79.46666666666667
10,39.03225806451613,1.432258064516129,49.58064516129032,59.61290322580645
11,24.2,4.45,37.333333333333336,49.8
12,22.580645161290324,13.0,31.677419354838708,40.25806451612903
